Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
4936_at		P50276			aa_permeases	4936_at			IPR004841	IPB002027					YGR055W		
4937_at		P53236	d1eqfa1		bromodomain	4937_at			IPR001487	IPB001487					YGR056W		
4938_at		P53237				4938_at									S0003289		
4939_at		P53238	d1iqva_		efhand	4939_at			IPR002048						YGR058W		
4940_at		P41901	d1h65a_		GTP_CDC	4940_at			IPR000038	IPB000038					YGR059W		
4941_at		P53045			Sterol_desat	4941_at			IPR006088	IPB001541	1.3.3.2				YGR060W		
4942_at		P38972			AIRS_C	4942_at			IPR000728		6.3.5.3				YGR061C		
4943_at		P53239			60KD_IMP	4943_at			IPR001708						YGR062C		
4944_at		P32914				4944_at									S0003295		
4945_at		P53240				4945_at									S0003296		
4946_at		P53241				4946_at									YGR065C		
4947_at		P53242				4947_at									YGR066C		
4948_at		P53243			zf-C2H2	4948_at			IPR000822	IPB000822					YGR067C		
4949_at		P53244				4949_at									YGR068C		
4950_at		P53245				4950_at									S0003301		
4951_at		P53046	d1by1a_		DEP	4951_at			IPR001331	IPB001180					YGR070W		
4952_at		P53246			zf-BED	4952_at			IPR003656						S0003303		
4953_at		P48412			Smg4_UPF3	4953_at			IPR005120						YGR072W		
4954_at		P53247				4954_at									YGR073C		
4955_at		Q02260	d1d3ba_		Sm	4955_at			IPR001163	IPB001163					YGR074W		
4911_at		Q00723			PRP38	4911_at			IPR005037						YGR075C		
4912_at		P23369				4912_at									YGR076C		
4913_at		P53248				4913_at									YGR077C		
4914_at		P48363			DUF232	4914_at			IPR004127						YGR078C		
4915_at		P53249				4915_at									YGR079W		
4916_at		P53250	d1f7sa_		cofilin_ADF	4916_at			IPR002108	IPB002108					YGR080W		
4917_at		P53251				4917_at									YGR081C		
4918_at		P35180			MAS20	4918_at			IPR002056						YGR082W		
4919_at		P12754			IF-2B	4919_at			IPR000649	IPB002889					YGR083C		
4920_at		P12686				4920_at									YGR084C		
4921_i_at		P06380	d1jj2d_		Ribosomal_L5_C	4921_i_at			IPR002132	IPB002132					S0003317		
4922_at		P53252				4922_at				IPB000959					YGR086C		
4923_at		P26263	d1pyda2		TPP_enzymes_N	4923_at			IPR000399	IPB000399	1.2.3.3				YGR087C		
4924_at		P06115	d1dgfa_		catalase	4924_at			IPR002226	IPB002226	1.11.1.6				YGR088W		
4925_at		P53253				4925_at									YGR089W		
4926_at		P53254			Nrap	4926_at			IPR005554						YGR090W		
4927_at		P49704			Nop	4927_at			IPR002687	IPB002687					YGR091W		
4928_at		P22204	d1phk__		pkinase	4928_at			IPR002290	IPB000959	2.7.1.38				YGR092W	DBF2	
4929_at		P53255				4929_at									S0003325		
4930_at		P07806	d1ile_1		tRNA-synt_1	4930_at			IPR001412	IPB001412	6.1.1.5				YGR094W		
4931_at		P53256			RNase_PH_C	4931_at			IPR001247						YGR095C		
4932_at		P53257			mito_carr	4932_at			IPR001993	IPB001993					YGR096W		
4933_at		P48361			PH	4933_at			IPR001849						YGR097W		
4888_at		Q03018			Peptidase_C50	4888_at			IPR005314						YGR098C		
4889_at		P53038				4889_at									YGR099W		
4890_at		P53258			efhand	4890_at			IPR004182	IPB000195					S0003332		
4891_at		P53259			Rhomboid	4891_at			IPR002610	IPB002610					YGR101W		
4892_at		P53260				4892_at									YGR102C		
4893_at		P53261				4893_at			IPR001357						S0003335		
4894_at		P32585				4894_at									S0003336		
4895_at		P41806				4895_at									YGR105W		
4896_at		P53262				4896_at									S0003338		
4897_at		P53263				4897_at									YGR107W		
4898_at		P24868	d1lip__		cyclin_C	4898_at			IPR004367	IPB000553					YGR108W		
4899_at		P32943	d1vin_1		cyclin_C	4899_at			IPR004367	IPB000553					YGR109C		
4900_at		P53264	d1c4xa_		abhydrolase	4900_at			IPR000379		3.8.1.5				YGR110W		
4901_at		P53265				4901_at					2.3.1.32				YGR111W		
4902_at		P53266			SURF1	4902_at			IPR002994	IPB002994					YGR112W		
4903_at		P53267				4903_at									YGR113W		
4904_at		P53268				4904_at									YGR114C		
4905_g_at		P53268				4905_g_at									YGR114C		
4906_at		P53269				4906_at				IPB002889					YGR115C		
4907_at		P23615			SH2	4907_at			IPR000980	IPB000135					S0003348		
4908_at		P53270				4908_at									S0003349		
4909_f_at		P32827	d1fjgl_		Ribosomal_S12	4909_f_at			IPR005680	IPB000230					YGR118W		
4910_at		P48837				4910_at									S0003351		
4865_at		P53271				4865_at									YGR120C		
4866_at		P40260			Ammonium_transp	4866_at			IPR001905	PR00342					S0003353		
4867_at		P53272				4867_at									YGR122W		
4868_at		P53043	d1g5ba_		TPR	4868_at			IPR001440	IPB000934	3.6.1.41				YGR123C		
4869_at		P49090	d1ct9a2		GATase_2	4869_at			IPR001962	IPB003694	6.3.5.4				YGR124W		
4870_at		P53273			STAS	4870_at			IPR002645	IPB001902					YGR125W		
4871_at		P53274				4871_at									YGR126W		
4872_at		P53275				4872_at									S0003359		
4873_at		P53276				4873_at									S0003360		
4874_at		P53277				4874_at									S0003361		
4875_at		P53278				4875_at			IPR001747	IPB000416					YGR130C		Q27480
4876_at		P53279				4876_at									S0003363		
4877_at		P40961			Band_7	4877_at			IPR001107	IPB001972					S0003364		
4878_at		P29340	d1qcqa_		UQ_con	4878_at			IPR000608	IPB000608	6.3.2.19				YGR133W		
4879_at		P53280				4879_at									S0003366		
4880_at		P23638	d1pmaa_		proteasome	4880_at			IPR001353	IPB000243					S0003367		
4881_at		P53281	d1sema_		SH3	4881_at			IPR001452	IPB001359					YGR136W		
4882_g_at		P53281	d1sema_		SH3	4882_g_at			IPR000108	IPB001359					YGR136W		
4883_at		P53282				4883_at									YGR137W		
4884_i_at		P53283			sugar_tr	4884_i_at			IPR005828	IPB002897					YGR138C		
4885_at		P53284				4885_at									YGR139W		
4886_at		P32504				4886_at									YGR140W		
4887_at		P53285				4887_at									YGR141W		
4842_at		P53286				4842_at				IPB001800					YGR142W		
4843_at		P33336			DUF338	4843_at			IPR005629						YGR143W		
4844_at		P32318			Thi4	4844_at			IPR002922	PR00420					YGR144W		
4845_at		P48234				4845_at			IPR002086						YGR145W		
4846_at		P48235				4846_at									YGR146C		
4847_at		P37293				4847_at					2.3.1.88				YGR147C		
4848_at		P24000	d1jj2t_		Ribosomal_L24e	4848_at			IPR000988	IPB000988					YGR148C		
4849_at		P48236				4849_at									YGR149W		
4850_at		P48237			PPR	4850_at			IPR002885						YGR150C		
4851_i_at		P53287				4851_i_at									S0003383		
4852_s_at		P53287				4852_s_at									YGR151C		
4853_at		P13856	d1kao__		ras	4853_at			IPR005225	IPB000795					YGR152C		
4854_at		P48238				4854_at									YGR153W		
4855_at		P48239				4855_at			IPR004046						S0003386		
4856_at		P32582	d1jbqa_		PALP	4856_at			IPR005857	IPB001721	4.1.99.4				YGR155W		
4857_at		P39927				4857_at			IPR000504						S0003388		
4858_at		P05374				4858_at									YGR157W		
4859_at		P48240			RNase_PH	4859_at			IPR001247						YGR158C		
4860_at		P27476	d1h6kx_		rrm	4860_at			IPR000504	IPB001580					S0003391		
4861_at		P53288				4861_at				IPB003106					YGR160W		
4862_at		P53289				4862_at			IPR006162						S0003393		
4863_at		P39935	d1hu3a_		MIF4G	4863_at			IPR003890	IPB003891					S0003394		
4864_at		P53290				4864_at									YGR163W		
4819_at		P53291				4819_at									YGR164W		
4820_at		P53292				4820_at									YGR165W		
4821_at		P32893				4821_at									S0003398		
4822_at		P17891			Clathrin_lg_ch	4822_at			IPR000996	IPB000996					S0003399		
4823_at		P53293				4823_at									YGR168C		
4824_at		P53294			PseudoU_synth_2	4824_at			IPR002990	IPB002990					YGR169C		
4825_at		P53037	d3rpba_		PS_Dcarbxylase	4825_at			IPR000008	IPB000008	4.1.1.65				YGR170W		
4826_at		P22438	d1a8h_2		tRNA-synt_1	4826_at			IPR002300	IPB001412	6.1.1.10				S0003403		
4827_at		P53039				4827_at									YGR172C		
4828_at		P53295	d1egaa1		TGS	4828_at			IPR006074	PR00449					S0003405		
4829_at		P37267				4829_at									YGR174C		
4830_at		P32476	d1foha5		Monooxygenase	4830_at			IPR003042	PR00368	1.14.99.7				YGR175C		
4831_at		P32475				4831_at									YGR176W		
4832_at		P53296				4832_at					2.3.1.84				YGR177C		
4833_at		P53297				4833_at			IPR006162						YGR178C		
4834_at		P53298				4834_at									S0003411		
4835_at		P49723	d1xsm__		ribonuc_red_sm	4835_at			IPR000358	IPB000358	1.17.4.1				YGR180C		
4836_at		P53299			zf-Tim10_DDP	4836_at			IPR004217						YGR181W		
4837_at		P53300				4837_at									S0003414		
4838_at		P22289				4838_at									YGR183C		
4839_at		P19812			zf-UBR1	4839_at			IPR003126	IPB003126					YGR184C		
4840_at		P36421	d1i6la_		tRNA-synt_1b	4840_at			IPR001412		6.1.1.1				YGR185C		
4841_at		P41895				4841_at									YGR186W		
4797_at		P48362			DUF384	4797_at				IPB000637					YGR187C		
4798_at		P41695			pkinase	4798_at			IPR002290	IPB003527					YGR188C	TMKL1	
4799_at		P53301	d2ayh__		Glyco_hydro_16	4799_at			IPR000757	IPB000684	3.2.1.81				YGR189C		
4800_at		P53302				4800_at									YGR190C		
4801_at		P06775			aa_permeases	4801_at			IPR004762	IPB001463					YGR191W		
4802_i_at		P00359	d1c49a_		gpdh_C	4802_i_at			IPR000173	IPB001342	1.2.1.12				YGR192C		
4803_at		P16451	d1fyc__		e3_binding	4803_at			IPR003016	IPB001882	2.3.1.12				YGR193C		
4804_at		P42826	d1bu6o1		FGGY	4804_at			IPR000577		2.7.1.17				YGR194C		
4805_at		P46948			RNase_PH_C	4805_at			IPR001247		2.7.7.56				YGR195W		
4806_at		P46949				4806_at				PR01513					S0003428		
4807_at		P46950				4807_at									S0003429		
4808_at		P46951				4808_at			IPR002198						YGR198W		
4809_at		P42934			PMT	4809_at			IPR003342	IPB003608	2.4.1.109				YGR199W		
4810_at		P42935	d1k8kc_		WD40	4810_at			IPR001680	PR00319					YGR200C		
4811_at		P42936	d1f2ea1		GST_C	4811_at			IPR004046		2.5.1.18				YGR201C		
4812_at		P13259	d1coza_		CTP_transf_2	4812_at			IPR004821	IPB000465	2.7.7.15				YGR202C		
4813_at		P42937	d1c25__			4813_at			IPR001763						S0003435		
4814_at		P07245	d1a4ia2		THF_DHG_CYH_C	4814_at			IPR000672	IPB000672	6.3.4.3				YGR204W		
4815_at		P42938				4815_at									YGR205W		
4816_at		P42939				4816_at									S0003438		
4817_at		P42940			ETF_beta	4817_at			IPR000049	IPB000049					S0003439		
4818_at		P42941	d1j97a_		Hydrolase	4818_at			IPR005834	IPB000150	5.4.2.6				YGR208W		
4774_at		P22217	d1erv__		thiored	4774_at			IPR005746	IPB000063	5.3.4.1				YGR209C		
4775_at		P42942				4775_at			IPR006169	IPB000765					S0003442		
4776_at		P53303			ZPR1	4776_at			IPR004457						YGR211W		
4777_at		P53304				4777_at					2.3.1.84				S0003444		
4778_at		P53047				4778_at									S0003445		
4779_f_at		P32905	d1fjgb_		Ribosomal_S2	4779_f_at			IPR005707	IPB001865					YGR214W		
4780_at		P32905	d1fjgb_		Ribosomal_S2	4780_at			IPR001865	IPB001865					YGR214W		
4781_at		P53305				4781_at									YGR215W		
4782_at		P53306				4782_at									S0003448		
4783_at		P50077			ion_trans	4783_at			IPR005820						YGR217W		
4784_at		P30822				4784_at			IPR001494						YGR218W		
4785_at		P53307				4785_at									YGR219W		
4786_at		P31334	d1gtra1		Ribosomal_L3	4786_at			IPR000597	IPB000597					YGR220C		
4787_at		P50078				4787_at				IPB002896					YGR221C		
4788_at		P10834				4788_at			IPR003954						YGR222W		
4789_at		P50079				4789_at			IPR001680						YGR223C		
4790_at		P50080				4790_at				IPB003662					YGR224W		
4791_at		P50082				4791_at			IPR000002	IPB000002					YGR225W		
4792_at		P50083				4792_at									YGR226C		
4793_at		P50076				4793_at									YGR227W		
4794_at		P53308				4794_at			IPR000531	IPB002889					S0003460		
4795_at		P32566				4795_at					2.4.1.34				S0003461		
4796_at		P50084				4796_at									YGR230W		
4751_at		P50085			Band_7	4751_at			IPR000163	PR00679					YGR231C		
4752_at		P50086				4752_at			IPR002110						YGR232W		
4753_at		P17442	d2prga_		ank	4753_at			IPR004331	PR01415					YGR233C		
4754_at		P39676	d1vhba_		globin	4754_at			IPR001433	IPB001433	1.18.1.3				YGR234W		
4755_at		P50087				4755_at									S0003467		
4756_at		P50088				4756_at									S0003468		
4757_at		P50089				4757_at				IPB002889					S0003469		
4758_at		P50090			Kelch	4758_at			IPR001798						YGR238C		
4759_at		P50091				4759_at									S0003471		
4760_at		P16861	d3pfk__		PFK	4760_at			IPR000023	IPB000023	2.7.1.11				YGR240C		
4761_at		P53309	d1fura_		ENTH	4761_at			IPR001026	IPB001026					S0003473		
4762_at		P53310				4762_at									YGR242W		
4763_at		P53311			UPF0041	4763_at			IPR005336						YGR243W		
4764_at		P53312	d1eucb2		ATP-grasp	4764_at			IPR003135	IPB003135					YGR244C		
4765_at		P53313				4765_at									S0003477		
4766_at		P29056	d1vola1		transcript_fac2	4766_at			IPR004366	IPB000812					YGR246C		
4767_at		P53314				4767_at									S0003479		
4768_at		P53315	d1fs5a_		Glucosamine_iso	4768_at			IPR006148	IPB000457	5.3.1.10				YGR248W		
4769_at		P53050	d2hts__		HSF_DNA-bind	4769_at			IPR000232	IPB000232					S0003481		
4770_at		P53316	d1d8za_		rrm	4770_at			IPR000504	IPB002004					YGR250C		
4771_at		P53317				4771_at									S0003483		
4772_at		Q03330	d1ygha_		bromodomain	4772_at			IPR000182	IPB001487					YGR252W		
4773_at		P32379	d1pmaa_		proteasome	4773_at			IPR000426	IPB000243					YGR253C		
4729_i_at		P00924	d1onea2		enolase_N	4729_i_at			IPR000941	IPB001354	4.3.1.2				YGR254W		
4730_s_at		P00924	d1onea2		enolase_N	4730_s_at			IPR000941	IPB001354	4.3.1.2				YGR254W		
4731_at		P53318	d1foha5		Monooxygenase	4731_at			IPR000689	IPB003952	1.14.13.2				YGR255C		
4732_at		P53319	d2pgd_2		NAD_binding_2	4732_at			IPR006184	IPB002204	1.1.1.44				YGR256W		
4733_at		P53320			mito_carr	4733_at			IPR002113	IPB001993					S0003489		
4734_at		P07276	d1fbna_		XPG_N	4734_at			IPR006086	IPB001532					YGR258C		
4735_at		P53321				4735_at									YGR259C		
4736_at		P53322			sugar_tr	4736_at			IPR005828	IPB003662					YGR260W		
4737_at		P46682			Adaptin_N	4737_at			IPR002553	IPB000135					YGR261C		
4738_at		P53323				4738_at			IPR001245						YGR262C		
4739_at		P53324	d1jkma_			4739_at			IPR000379	IPB002168					S0003495		
4740_at		P00958	d1f4la3		tRNA-synt_1	4740_at			IPR001412		6.1.1.10				YGR264C		
4741_at		P53325				4741_at									YGR265W		
4742_at		P53326				4742_at									YGR266W		
4743_at		P51601	d1is8a_		GTP_cyclohydroI	4743_at			IPR001474	IPB001474	3.5.4.16				YGR267C		
4744_at		P40325				4744_at									S0003500		
4745_at		P40326				4745_at									YGR269W		
4746_at		P40340	d1e32a2		bromodomain	4746_at			IPR003593	IPB003348					S0003502		
4747_at		P53327	d1hv8a1		helicase_C	4747_at			IPR004179						YGR271W		
4748_at		P53328				4748_at									YGR272C		
4749_at		P53329				4749_at									S0003505		
4750_at		P46677			zf-CCHC	4750_at			IPR001878						YGR274C		
4705_at		P53330				4705_at									YGR275W		
4706_at		P53331			Exonuclease	4706_at			IPR006055						YGR276C		
4707_at		P53332			CTP_transf_2	4707_at			IPR004820		2.7.7.39				YGR277C		
4708_at		P53333			MA3	4708_at			IPR003891	IPB003891					YGR278W		
4709_at		P53334				4709_at			IPR000490						YGR279C		
4710_at		P53335			G-patch	4710_at			IPR000467	IPB000467					S0003512		
4711_at		P53049	d1jj7a_		ABC_tran	4711_at			IPR003593	IPB002891					YGR281W		
4712_at		P15703	d1aq0a_		Glyco_hydro_17	4712_at			IPR000490	IPB000490					YGR282C		
4713_at		P53336			DUF171	4713_at			IPR003750	IPB003750					YGR283C		
4714_at		P53337			SURF4	4714_at			IPR002995	IPB002995					YGR284C		
4715_at		P32527	d1fpoa1		DnaJ	4715_at			IPR001623	IPB003134					YGR285C		
4716_at		P32451			Radical_SAM	4716_at			IPR002684	IPB002684	2.8.1.6				YGR286C		
4717_at						4717_at									S0003519		
4718_at		P53338	d1zmec1		Fungal_trans	4718_at			IPR001138	IPB001138					S0003520		
4719_at		P53048			sugar_tr	4719_at			IPR005829	IPB003662					YGR289C		
4720_at		P53339				4720_at			IPR001092						YGR290W		
4721_at		P53340				4721_at									S0003523		
4722_s_at		P53342				4722_s_at									YGR293C		
4723_f_at		P53343			SRP1_TIP1	4723_f_at			IPR000992	IPB000992					YGR294W		
4724_i_at						4724_i_at									YGR122C-A		
4725_f_at						4725_f_at									S0007240		
4726_at						4726_at									YGL006w-a		
4727_s_at		P27882	d1jr8a_			4727_s_at									YGR029W		
4728_at	NC_001139					4728_at											
4681_at	NC_001139					4681_at											
4682_at	NC_001139					4682_at											
4683_at	NC_001139					4683_at											
4684_at	NC_001139					4684_at											
4685_at	NC_001139					4685_at											
4686_s_at	NC_001139					4686_s_at											
4687_at	NC_001139					4687_at											
4688_at	NC_001139					4688_at											
4689_at	NC_001139					4689_at											
4690_at	NC_001139					4690_at											
4691_at	NC_001139					4691_at											
4692_f_at	NC_001139					4692_f_at											
4693_i_at	NC_001139					4693_i_at											
4694_at	NC_001139					4694_at											
4695_at	NC_001139					4695_at											
4696_at	NC_001139					4696_at											
4697_at	NC_001139					4697_at											
4698_at	NC_001139					4698_at											
4699_at	NC_001139					4699_at											
4700_at	NC_001139					4700_at											
4701_at	NC_001139					4701_at											
4702_at	NC_001139					4702_at											
4703_at	NC_001139					4703_at											
4704_at	NC_001139					4704_at											
4658_at	NC_001139					4658_at											
4659_at	NC_001139					4659_at											
4660_i_at	NC_001139					4660_i_at											
4661_r_at	NC_001139					4661_r_at											
4662_at	NC_001139					4662_at											
4663_at	NC_001139					4663_at											
4664_at	NC_001139					4664_at											
4665_at	NC_001139					4665_at											
4666_r_at	NC_001139					4666_r_at											
4667_at	NC_001139					4667_at											
4668_at	NC_001139					4668_at											
4669_i_at	NC_001139					4669_i_at											
4670_f_at	NC_001139					4670_f_at											
4671_at	NC_001139					4671_at											
4672_at	NC_001139					4672_at											
4673_at	NC_001139					4673_at											
4674_at	NC_001139					4674_at											
4675_at	NC_001139					4675_at											
4676_at	NC_001139					4676_at											
4677_at	NC_001139					4677_at											
4678_at	NC_001139					4678_at											
4679_at	NC_001139					4679_at											
4680_at	NC_001139					4680_at											
4631_at	NC_001139					4631_at											
4632_g_at	NC_001139					4632_g_at											
4633_at	NC_001139					4633_at											
4634_at	NC_001139					4634_at											
4635_g_at	NC_001139					4635_g_at											
4636_i_at	NC_001139					4636_i_at											
4637_r_at	NC_001139					4637_r_at											
4638_i_at	NC_001139					4638_i_at											
4639_f_at	NC_001139					4639_f_at											
4640_at	NC_001139					4640_at											
4641_s_at	NC_001139					4641_s_at											
4642_i_at	NC_001139					4642_i_at											
4643_f_at	NC_001139					4643_f_at											
4644_i_at	NC_001139					4644_i_at											
4645_at	NC_001139					4645_at											
4646_at	NC_001139					4646_at											
4647_at	NC_001139					4647_at											
4648_i_at	NC_001139					4648_i_at											
4649_r_at	NC_001139					4649_r_at											
4650_f_at	NC_001139					4650_f_at											
4651_at	NC_001139					4651_at											
4652_at	NC_001139					4652_at											
4653_at	NC_001139					4653_at											
4654_at	NC_001139					4654_at											
4655_at	NC_001139					4655_at											
4656_f_at	NC_001139					4656_f_at											
4657_at	NC_001139					4657_at											
4608_g_at	NC_001139					4608_g_at											
4609_at	NC_001139					4609_at											
4610_at	NC_001139					4610_at											
4611_at	NC_001139					4611_at											
4612_at	NC_001139					4612_at											
4613_at	NC_001139					4613_at											
4614_at	NC_001139					4614_at											
4615_at	NC_001139					4615_at											
4616_at	NC_001139					4616_at											
4617_at	NC_001139					4617_at											
4618_at	NC_001139					4618_at											
4619_at	NC_001139					4619_at											
4620_at	NC_001139					4620_at											
4621_at	NC_001139					4621_at											
4622_at	NC_001139					4622_at											
4623_at	NC_001139					4623_at											
4624_at	NC_001139					4624_at											
4625_at	NC_001139					4625_at											
4626_at	NC_001139					4626_at											
4627_at	NC_001139					4627_at											
4628_at	NC_001139					4628_at											
4629_at	NC_001139					4629_at											
4630_at	NC_001139					4630_at											
4585_at	NC_001139					4585_at											
4586_at	NC_001139					4586_at											
4587_at	NC_001139					4587_at											
4588_at	NC_001139					4588_at											
4589_g_at	NC_001139					4589_g_at											
4590_at	NC_001139					4590_at											
4591_at	NC_001139					4591_at											
4592_at	NC_001139					4592_at											
4593_at	NC_001139					4593_at											
4594_at	NC_001139					4594_at											
4595_at	NC_001139					4595_at											
4596_at	NC_001139					4596_at											
4597_at	NC_001139					4597_at											
4598_g_at	NC_001139					4598_g_at											
4599_i_at	NC_001139					4599_i_at											
4600_at	NC_001139					4600_at											
4601_at	NC_001139					4601_at											
4602_at	NC_001139					4602_at											
4603_at						4603_at									SNR39		
4604_i_at						4604_i_at									SNR39b		
4605_s_at						4605_s_at									SNR39b		
4606_at						4606_at									SNR46		
4607_at						4607_at									SNR48		
4561_s_at						4561_s_at									SNR7-L		
4562_at		P38724			sugar_tr	4562_at			IPR005828						YHL047C		
4563_f_at		P38725			SRP1_TIP1	4563_f_at			IPR000992	IPB000992					YHL046C		
4564_at		P38727			DUP	4564_at			IPR001142	IPB001142					YHL044W		
4565_at		P38728			DUP	4565_at			IPR001142	IPB001142					YHL043W		
4566_at		P38729			DUP	4566_at			IPR001142	IPB001142					YHL042W		
4567_at		P38730				4567_at									YHL041W		
4568_at		P38731				4568_at									YHL040C		
4569_at		P38732				4569_at									YHL039W		
4570_at		P03874				4570_at									S0001030		
4571_at		P38733				4571_at									YHL037C		
4572_at		P38734				4572_at			IPR002293	IPB002027					S0001028		
4573_at		P38735	d1jj7a_		ABC_tran	4573_at			IPR003439	IPB000765					YHL035C		
4574_at		P10080			rrm	4574_at			IPR000504						YHL034C		
4575_i_at		P17076	d1jj2f_		Ribosomal_L7Ae	4575_i_at			IPR004037	IPB000955					YHL033C		
4576_at		P32190	d1bu6o1		FGGY_C	4576_at			IPR000577	IPB000577	2.7.1.30				YHL032C		
4577_at		P38736				4577_at									S0001023		
4578_at		P38737				4578_at									S0001022		
4579_at		P38738				4579_at			IPR000195						YHL029C		
4580_at		P38739				4580_at			IPR002889	IPB000684					YHL028W		
4581_at		P33400			zf-C2H2	4581_at			IPR000822	IPB000416					YHL027W		
4582_at		P38740				4582_at				IPB001898					S0001018		
4583_at		P18888				4583_at									S0001017		
4584_at		P38741			rrm	4584_at			IPR000504	IPB002004					YHL024W		
4539_at		P38742			UPF0171	4539_at			IPR005365	IPB002889					YHL023C		
4540_at		P23179	d1d3ya_			4540_at			IPR002815	IPB002815					S0001014		
4541_at		P23180			Gamma-BBH	4541_at			IPR004994						YHL021C		
4542_at		P21957				4542_at				IPB002360					S0001012		
4543_at		P38700	d1i31a_		Adap_comp_sub	4543_at			IPR001392	IPB000167					YHL019C		
4544_at		P38744	d1dcpa_		Pterin_4a	4544_at			IPR001533	IPB001533	4.2.1.96				S0001010		
4545_at		P38745				4545_at									YHL017W		
4546_at		P33413			SSF	4546_at			IPR001734	IPB001734					S0001008		
4547_at		P38701	d1fjgj_		Ribosomal_S10	4547_at			IPR001848	IPB001848					YHL015W		
4548_at		P38746				4548_at			IPR004396	IPB000765					YHL014C		
4549_at		P38747			OTU	4549_at			IPR003323	IPB000996					YHL013C		
4550_at		P38709			UDPGP	4550_at			IPR002618	IPB002618	2.7.7.9				YHL012W		
4551_at		P38689	d1dkra1		Pribosyltran	4551_at			IPR005946	IPB002375	2.7.6.1				YHL011C		
4552_at		P38748			zf-UBP	4552_at			IPR001841	IPB001237					YHL010C		
4553_at		P38749			bZIP	4553_at			IPR004827						YHL009C		
4554_at		P38750			Form_Nir_trans	4554_at			IPR000292	IPB000292					S0001000		
4555_at		Q03497	d1f3mc_		pkinase	4555_at			IPR002290	IPB003605	2.7.1.38				YHL007C	STE20	
4556_at		P38751				4556_at									YHL006C		
4557_at		P38752				4557_at									YHL005C		
4558_at		P32902	d1fjgb_		Ribosomal_S2	4558_at			IPR001865	IPB001865					S0000996		
4559_at		P38703			LAG1	4559_at			IPR005547						YHL003C		
4560_at		P38753	d1pysb3		VHS	4560_at			IPR003903	PR00499					YHL002W		
4515_i_at		P38754			Ribosomal_L14e	4515_i_at			IPR005824	IPB002784					YHL001W		
4516_f_at		P38754			Ribosomal_L14e	4516_f_at			IPR002784	IPB002784					YHL001W		
4517_at		P38755				4517_at			IPR000648						YHR001W		
4518_at		P37299				4518_at									YHR001W-A		
4519_at		P38702				4519_at			IPR002167						YHR002W		
4520_at		P38756			ThiF	4520_at			IPR000205	IPB000343					YHR003C		
4521_at		P38757			NIF	4521_at			IPR004274						YHR004C		
4522_at		P08539	d1cipa2		G-alpha	4522_at			IPR002975	PR00449					YHR005C		
4523_at		P87108			zf-Tim10_DDP	4523_at			IPR004217						YHR005C-A		
4524_at		P38704			zf-C2H2	4524_at			IPR000822	IPB000822					YHR006W		
4525_at		P10614	d1e9xa_		p450	4525_at			IPR002403	IPB001128	1.14.15.6				YHR007C		P77901
4526_at		P00447	d1kkca2		sodfe_C	4526_at			IPR001189	IPB001189	1.15.1.1				S0001050		
4527_at		P38758				4527_at				IPB000927					YHR009C		
4528_i_at		P38706			Ribosomal_L27e	4528_i_at			IPR001141	IPB002784					YHR010W		
4529_f_at		P38706			Ribosomal_L27e	4529_f_at			IPR005824	IPB002784					YHR010W		
